Year, Month, Return, Assets
2002,1,0.87,1000
2002,2,-1.66,1000
2002,3,-0.08,1000
2002,4,-5.19,1000
2002,5,0,1000
2002,6,11.66,1000
2002,7,-3.51,1000
2002,8,2.73,1000
2002,9,1.58,1000
2002,10,-3.83,1000
2002,11,-4.68,1000
2002,12,8.55,1000
2003,1,2.54,1000
2003,2,1.35,1000
2003,3,-11.65,1000
2003,4,0.51,1000
2003,5,2.12,1000
2003,6,-6.37,1000
2003,7,0.23,1000
2003,8,-0.99,1000
2003,9,3.11,1000
2003,10,5.49,1000
2003,11,-4.23,1000
2003,12,18.8,1000
2004,1,0.76,1000
2004,2,0.59,1000
2004,3,3.67,1000
2004,4,-8.1,1000
2004,5,-0.53,1000
2004,6,-4.65,1000
2004,7,1.08,1000
2004,8,-4.84,1000
2004,9,-0.09,1000
2004,10,4.48,1000
2004,11,7.01,1000
2004,12,-0.09,1000
2005,1,-3.89,1000
2005,2,0.43,1000
2005,3,-1.07,1000
2005,4,-4.76,1000
2005,5,3.86,1000
2005,6,1.54,1000
2005,7,0.27,1000
2005,8,-1.97,1000
2005,9,-0.32,1000
2005,10,-1.35,1000
2005,11,1.55,1000
2005,12,-6,1000
2006,1,1.62,1000
2006,2,2.55,1000
2006,3,-0.22,1000
2006,4,15.73,1000
2006,5,0.78,1000
2006,6,-6.14,1000
2006,7,-4.32,1000
2006,8,1.57,1000
2006,9,3.55,1000
2006,10,-0.1,1000
2006,11,7.14,1000
2006,12,-6.35,1000
2007,1,-1.75,1000
2007,2,-1.26,1000
2007,3,3.97,1000
2007,4,3.87,1000
2007,5,0.97,1000
2007,6,-2.02,1000
2007,7,-2.08,1000
2007,8,-5.51,1000
2007,9,4.86,1000
2007,10,4.92,1000
2007,11,0.42,1000
2007,12,2.48,1000
2008,1,1.99,1000
2008,2,14.3,1000
2008,3,1.74,1000
2008,4,-4.77,1000
2008,5,-3.54,1000
2008,6,-4.49,1000
2008,7,-7.09,1000
2008,8,16.4,1000
2008,9,9.74,1000
2008,10,21.89,1000
2008,11,1.52,1000
2008,12,1.59,1000
2009,1,-5.54,1000
2009,2,-4.33,1000
2009,3,-1.96,1000
2009,4,-0.13,1000
2009,5,10.31,1000
2009,6,-2.27,1000
2009,7,1.22,1000
2009,8,0.6,1000
2009,9,-1.9,1000
2009,10,-5.31,1000
2009,11,5.58,1000
2009,12,-7.26,1000
2010,1,-3.37,1000
2010,2,0.65,1000
2010,3,-0.51,1000
2010,4,-0.66,1000
2010,5,4.78,1000
2010,6,3.32,1000
2010,7,0.12,1000
2010,8,-1.86,1000
2010,9,14.82,1000
2010,10,5.29,1000
2010,11,-4.65,1000
2010,12,5.76,3220589
2011,1,-4.43,3250000
2011,2,-0.51,3269000
2011,3,-4.99,3300000
2011,4,1.66,3158000
2011,5,-1.79,3150000
2011,6,-3.38,3000000
2011,7,2.56,3073817
2011,8,6.97,3288058
2011,9,7.37,3487570
2011,10,-10.73,3118108
2011,11,-0.13,3114099
2011,12,-3.42,3007000
2012,1,-10.87,2523000
2012,2,5.86,2660000
2012,3,1.6,2690000
2012,4,-4.17,2600000
2012,5,44.73,3691000
2012,6,-6.27,3468000
2012,7,2.35,3553000
2012,8,-4.97,3370000
2012,9,-6.69,3140000
2012,10,-6.03,3131000
2012,11,1.8,3390000
2012,12,2.68,3484000
2013,1,-0.77,3857000
2013,2,-2.92,4727000
2013,3,0.24,4725000
2013,4,-3.5,4778000
2013,5,-1.58,4709000
2013,6,3.81,7908000
2013,7,-2.99,4772000
2013,8,-2.51,4655000
2013,9,-5.21,4429000
2013,10,-2.04,4329000
2013,11,1.57,4403000
2013,12,-1.67,4311000
2014,1,-3.67,4165000
2014,2,11.38,4570000
2014,3,-4,4384000
2014,4,-2.59,4086000
2014,5,-1.71,4043000
2014,6,4.83,4179000
2014,7,1.45,4254000
2014,8,0.32,4303000
2014,9,20.12,5688000
2014,10,-1.8,5585000
2014,11,11.81,6270000
2014,12,4.45,6421000
2015,1,8.08,6614000
2015,2,0.91,7078000
2015,3,1.51,7071000
2015,4,-5.32,6683000
2015,5,-1.35,6592000
2015,6,-1.94,6449000
2015,7,5.99,7435000
2015,8,-5.62,7211000
2015,9,2.97,7596000
2015,10,-4.65,7269000
2015,11,3.88,7915000
2015,12,-3.18,7701000
2016,1,2.63,7811000
2016,2,8.11,7809000
2016,3,-3.09,7562000
2016,4,1.77,7692000
2016,5,-7.22,6824000
2016,6,1.55,6901000
2016,7,1.76,7395000
2016,8,-2.62,6985000
2016,9,-4.19,6881000
2016,10,8.31,8248000
2016,11,6.17,9562000
2016,12,-5.33,9264000
2017,1,-11.17,8927000
2017,2,-1.34,8819000
2017,3,-1.04,8768000
2017,4,-1.26,7683000
2017,5,-1.71,7311000
2017,6,-3.96,7104000
2017,7,5.93,8282000
2017,8,1.44,8387000
2017,9,-3.38,8201000
2017,10,3.88,8498000
2017,11,-4.11,8228000
2017,12,5.52,7527000
2018,1,6.98,7527000
2018,2,-8.22,7418000
2018,3,-3.9,7185000
2018,4,4.87,7400000
2018,5,-1.49,7303000
2018,6,0.07,7328000
2018,7,0.75,7430000
2018,8,7.47,7792000
2018,9,5.99,8179000
2018,10,-3.53,7966000
2018,11,4.94,8341000
2018,12,1.42,10282000
2019,1,-1.99,9551000
2019,2,-3.57,9079000
2019,3,-3.12,8903000
2019,4,1.13,8616000
2019,5,3.64,8814000
2019,6,-1.29,8730000
2019,7,-1.12,8647000
2019,8,15.16,9464000
2019,9,-9.8,8667000
2019,10,-6.06,8263000
2019,11,0.64,8286000
2019,12,-1.52,8200000
2020,1,-6.29,7765000
2020,2,0.65,7823000
2020,3,-4.1,7412000
2020,4,-1.44,7412000
