Year, Month, Return, Assets
2005,10,-3.05,0
2005,11,16.58,0
2005,12,7.5,2200000
2006,1,18.08,2200000
2006,2,-7.4,2200000
2006,3,8.13,2200000
2006,4,18.53,2200000
2006,5,-10.94,2200000
2006,6,-7.78,2200000
2006,7,-12.29,2200000
2006,8,-2.71,2200000
2006,9,5.33,2200000
2006,10,12.5,2200000
2006,11,6.75,2200000
2006,12,12.94,3020000
2007,1,2.15,3020000
2007,2,-9.03,3020000
2007,3,-6.41,3020000
2007,4,13.44,3020000
2007,5,2.76,3020000
2007,6,2.15,3020000
2007,7,-9.06,3020000
2007,8,-13.35,3020000
2007,9,18.5,3020000
2007,10,18.19,3020000
2007,11,-9.98,3020000
2007,12,13.02,5860000
2008,1,6.08,5860000
2008,2,28.68,5860000
2008,3,-7.15,5860000
2008,4,-8.26,5860000
2008,5,12.52,5860000
2008,6,18.49,5860000
2008,7,-21.36,5860000
2008,8,-21.49,5860000
2008,9,6.06,5860000
2008,10,10.88,5860000
2008,11,15.42,5860000
2008,12,10.81,14440000
2009,1,5.32,14440000
2009,2,2.53,14440000
2009,3,-6.3,14440000
2009,4,-15.52,14440000
2009,5,-11.69,14440000
2009,6,-9.02,14440000
2009,7,-8.99,14440000
2009,8,5.65,14440000
2009,9,9.87,14440000
2009,10,-11.33,14440000
2009,11,33.2,14440000
2009,12,-18.96,7170000
2010,1,-16.59,7170000
2010,2,6.29,7170000
2010,3,19.28,7170000
2010,4,12.41,7170000
2010,5,-24.99,7170000
2010,6,4.56,7170000
2010,7,-7.51,7170000
2010,8,10.45,7170000
2010,9,11.22,7170000
2010,10,11.01,7170000
2010,11,-2.47,7170000
2010,12,19.62,4660000
2011,1,-11.51,4660000
2011,2,13.05,4660000
2011,3,1.26,4660000
2011,4,23.29,3580000
2011,5,-13.96,3580000
2011,6,-5.5,2180000
2011,7,17.41,2180000
2011,8,12.67,2180000
2011,9,-15.33,1620000
2011,10,-10.85,1620000
2011,11,-3.1,1620000
2011,12,-17.86,1040000
2012,1,11.13,1040000
2012,2,0.86,1040000
2012,3,-13.12,1010000
2012,4,-1.48,1010000
2012,5,19.73,1010000
2012,6,-14.78,1010000
2012,7,3.62,1010000
2012,8,1.11,1010000
2012,9,0.97,1070000
2012,10,-9.88,1070000
2012,11,-7.15,1070000
2012,12,1.79,940000
2013,1,5.74,940000
2013,2,-3.92,940000
2013,3,3.43,990000
2013,4,10.22,1090000
2013,5,-16.81,910000
2013,6,-16.52,760000
2013,7,7.45,810000
2013,8,3.69,840000
2013,9,-9.2,760000
2013,10,3.68,570000
2013,11,-4.72,550000
2013,12,-1.36,540000
2014,1,-0.98,530000
2014,2,12.67,600000
2014,3,-7.98,550000
2014,4,-0.65,550000
2014,5,-1.63,540000
2014,6,5.61,570000
2014,7,-5.47,540000
2014,8,9.89,590000
2014,9,-3.3,570000
2014,10,-3.3,390000
2014,11,11.94,430000
2014,12,-1.52,430000
2015,1,13.84,480000
2015,2,-2.31,4010000
2015,3,-1.21,3960000
2015,4,-3.99,3800000
2015,5,0.39,3820000
2015,6,-12.47,3340000
2015,7,-0.03,3340000
2015,8,-6.8,3110000
2015,9,-1.42,3070000
2015,10,4.01,3190000
2015,11,1.41,3190000
2015,12,-4.09,3100000
2016,1,5.75,3280000
2016,2,12.45,3690000
2016,3,-1.73,2540000
2016,4,-3.2,2460000
2016,5,-9.23,2230000
2016,6,10.42,2470000
2016,7,5.9,2570000
2016,8,-7.32,2380000
2016,9,-1.95,2330000
2016,10,-8.89,330000
2016,11,-9.94,300000
2016,12,-3.85,300000
2017,1,5.23,300000
2017,2,7.46,320000
2017,3,-0.69,320000
2017,4,1.82,330000
2017,5,1.98,330000
2017,6,-5.65,310000
2017,7,7.11,340000
2017,8,6.59,360000
2017,9,-3.79,340000
2017,10,8.67,320000
2017,11,0.4,320000
2017,12,5.15,10160000
2018,1,8.95,10650000
2018,2,-12.51,9440000
2018,3,2.31,9520000
2018,4,-1.55,9290000
2018,5,-4.27,8940000
2018,6,-6.23,8360000
2018,7,-2,7940000
2018,8,-3.1,7650000
2018,9,-5.98,7280000
2018,10,-7.54,6910000
2018,11,1.2,6950000
2018,12,5.32,7280000
2019,1,6.52,7530000
2019,2,2.3,7520000
2019,3,0.8,7410000
2019,4,3.66,7320000
2019,5,-2.71,7180000
2019,6,13.36,7980000
2019,7,2.34,8030000
2019,8,13.67,8900000
2019,9,-8.8,8190000
2019,10,0.28,8270000
2019,11,-0.77,8120000
2019,12,4.58,8420000
2020,1,9.37,8970000
2020,2,-1.54,8770000
2020,3,3.52,9030000
2020,4,8.15,10050000
