Year, Month, Return, Assets
2001,5,3.15,0
2001,6,2.42,0
2001,7,3.92,0
2001,8,11.76,0
2001,9,38.38,0
2001,10,13.41,0
2001,11,-24.59,0
2001,12,-5.44,6370000
2002,1,-0.02,6370000
2002,2,-1.48,6370000
2002,3,-2.18,6370000
2002,4,-5.98,6370000
2002,5,3.71,6370000
2002,6,30.37,6370000
2002,7,24.09,6370000
2002,8,13.54,6370000
2002,9,21.55,6370000
2002,10,-28.02,6370000
2002,11,-10.24,6370000
2002,12,32.7,20700000
2003,1,27.42,20700000
2003,2,20.27,20700000
2003,3,-31.14,20700000
2003,4,-1.03,20700000
2003,5,25.76,20700000
2003,6,-8.29,20700000
2003,7,-0.98,20700000
2003,8,3.64,20700000
2003,9,-5.57,20700000
2003,10,15.63,20700000
2003,11,-2.78,20700000
2003,12,24.6,42108000
2004,1,2.89,42108000
2004,2,14.98,42108000
2004,3,-1.71,42108000
2004,4,-19.92,42108000
2004,5,9.27,42108000
2004,6,-14.21,42108000
2004,7,2.06,42108000
2004,8,-8.12,42108000
2004,9,9.39,42108000
2004,10,6.82,42108000
2004,11,25.74,42108000
2004,12,-0.29,75575000
2005,1,-15.92,75575000
2005,2,-0.53,75575000
2005,3,6.6,75575000
2005,4,-19.41,75575000
2005,5,4.99,75575000
2005,6,5.41,75575000
2005,7,-0.3,75575000
2005,8,0.15,75575000
2005,9,2.05,75575000
2005,10,-15.12,75575000
2005,11,17.29,75575000
2005,12,5.08,63358000
2006,1,12.82,63358000
2006,2,-6.73,63358000
2006,3,4.14,63358000
2006,4,9.66,63358000
2006,5,-7.64,63358000
2006,6,-5.99,63358000
2006,7,-17.56,63358000
2006,8,-1.14,63358000
2006,9,11.12,63358000
2006,10,9.69,63358000
2006,11,-1.51,63358000
2006,12,18.91,9750000
2007,1,-0.85,9750000
2007,2,-12.76,9750000
2007,3,-8.32,9750000
2007,4,16.84,9750000
2007,5,8.98,9750000
2007,6,7.51,9750000
2007,7,-19.67,9750000
2007,8,-14.7,9750000
2007,9,12.3,9750000
2007,10,19.98,9750000
2007,11,-9.5,9750000
2007,12,5.79,6040000
2008,1,-5,6040000
2008,2,32.16,6040000
2008,3,-3.38,6040000
2008,4,-3.93,6040000
2008,5,16.29,6040000
2008,6,17.77,6040000
2008,7,-24.06,6040000
2008,8,-12.8,6040000
2008,9,8.93,6040000
2008,10,36.21,6040000
2008,11,5.82,6040000
2008,12,4.96,6330000
2009,1,1.35,6330000
2009,2,1.81,6330000
2009,3,-6.65,6330000
2009,4,-13.59,6330000
2009,5,-23.29,6330000
2009,6,-5.93,6330000
2009,7,-14.88,6330000
2009,8,5.55,6330000
2009,9,6.27,6330000
2009,10,-18.32,6330000
2009,11,27.97,6330000
2009,12,-18.3,1560000
2010,1,-17.73,1560000
2010,2,3.76,1560000
2010,3,25.94,1560000
2010,4,10.07,1560000
2010,5,-28.37,1560000
2010,6,1.53,1560000
2010,7,-3.41,1560000
2010,8,9.06,1560000
2010,9,12.41,1560000
2010,10,12.03,1560000
2010,11,-4.51,1560000
2010,12,22.98,1060000
2011,1,-6.49,1060000
2011,2,10.57,1060000
2011,3,-0.42,1060000
2011,4,19.19,1310000
2011,5,-17.72,1310000
2011,6,-3.75,1030000
2011,7,12.46,1030000
2011,8,1.57,1030000
2011,9,-5.34,1400000
2011,10,-21.46,1400000
2011,11,-6.16,1400000
2011,12,-9.35,940000
2012,1,0.43,940000
2012,2,4.38,940000
2012,3,-13.92,850000
2012,4,-0.59,850000
2012,5,36.11,850000
2012,6,-20.86,920000
2012,7,5.22,920000
2012,8,-3.93,920000
2012,9,-4.73,3520000
2012,10,-8.37,3520000
2012,11,-8.45,3520000
2012,12,5.79,2560000
2013,1,9.44,2560000
2013,2,2.11,2560000
2013,3,3.62,2960000
2013,4,24.32,3680000
2013,5,-14.69,3140000
2013,6,-6.07,2950000
2013,7,1.18,2980000
2013,8,-2.77,2900000
2013,9,-4.77,2760000
2013,10,6.01,2930000
2013,11,1.84,2980000
2013,12,3.64,3090000
2014,1,-4.93,2940000
2014,2,8.74,3190000
2014,3,-5.74,3010000
2014,4,-1.34,2970000
2014,5,3.49,3070000
2014,6,-0.24,3070000
2014,7,-2.92,2980000
2014,8,13.2,3370000
2014,9,4.16,3510000
2014,10,-0.98,3480000
2014,11,16.56,4050000
2014,12,-2.18,3960000
2015,1,8.85,4310000
2015,2,5.23,4540000
2015,3,3.02,4680000
2015,4,-4.95,4450000
2015,5,-0.11,4440000
2015,6,-14.59,3790000
2015,7,11.09,4220000
2015,8,-13.49,3640000
2015,9,1.5,3700000
2015,10,3.75,3840000
2015,11,11.98,4300000
2015,12,-4.1,4120000
2016,1,1.59,4190000
