Year, Month, Return, Assets
1996,3,-2.09,0
1996,4,1.12,0
1996,5,-0.59,0
1996,6,-0.05,0
1996,7,-0.17,0
1996,8,0.75,0
1996,9,-1.48,0
1996,10,-1.76,0
1996,11,-0.29,0
1996,12,-6.07,0
1997,1,3.46,0
1997,2,8.24,0
1997,3,-4.62,0
1997,4,-2.49,0
1997,5,7.94,0
1997,6,7.41,0
1997,7,11.32,0
1997,8,-11.42,0
1997,9,0.8,0
1997,10,-6.24,0
1997,11,1.6,0
1997,12,5.58,0
1998,1,-2.54,0
1998,2,4.58,0
1998,3,3.6,0
1998,4,-4.81,0
1998,5,8.74,0
1998,6,1.96,0
1998,7,10.4,0
1998,8,9.88,0
1998,9,-0.65,0
1998,10,-3.21,0
1998,11,13.77,0
1998,12,9.9,3300000
1999,1,4.11,3300000
1999,2,0.98,3300000
1999,3,-1.7,3300000
1999,4,6.32,3300000
1999,5,-5.8,3300000
1999,6,-0.43,3300000
1999,7,1.13,3300000
1999,8,-2.71,3300000
1999,9,4.53,3300000
1999,10,-3.17,3300000
1999,11,10.56,3300000
1999,12,10.5,19400000
2000,1,1.84,19400000
2000,2,-1.14,19400000
2000,3,-4.2,19400000
2000,4,-0.2,19400000
2000,5,6.27,19400000
2000,6,1.13,19400000
2000,7,-4.08,19400000
2000,8,10.9,19400000
2000,9,-6.29,19400000
2000,10,-4.42,19400000
2000,11,5.06,19400000
2000,12,18.96,34500000
2001,1,1.55,34500000
2001,2,1.45,34500000
2001,3,12.76,34500000
2001,4,-12.81,34500000
2001,5,4.32,34500000
2001,6,0.39,34500000
2001,7,1.83,34500000
2001,8,6.15,34500000
2001,9,15.41,34500000
2001,10,3.95,34500000
2001,11,-12.76,34500000
2001,12,-0.98,79640000
2002,1,-0.59,79640000
2002,2,-2.48,79640000
2002,3,-1.44,79640000
2002,4,-2.99,79640000
2002,5,1.31,79640000
2002,6,13.67,79640000
2002,7,13.78,79640000
2002,8,8.2,79640000
2002,9,11.94,79640000
2002,10,-13.78,79640000
2002,11,-6.38,79640000
2002,12,16.58,189110000
2003,1,12.76,189110000
2003,2,12.04,189110000
2003,3,-16.72,189110000
2003,4,-1.6,189110000
2003,5,10.04,189110000
2003,6,-4.83,189110000
2003,7,-1.02,189110000
2003,8,1.47,189110000
2003,9,-2.87,189110000
2003,10,6.54,189110000
2003,11,-2.25,189110000
2003,12,12.86,416510000
2004,1,2.97,416510000
2004,2,8.69,416510000
2004,3,0.42,416510000
2004,4,-11.69,416510000
2004,5,4.08,416510000
2004,6,-7.04,416510000
2004,7,0.52,416510000
2004,8,-3.8,416510000
2004,9,4.04,416510000
2004,10,2.58,416510000
2004,11,8.99,416510000
2004,12,2.74,460050000
2005,1,-6.97,460050000
2005,2,0.49,460050000
2005,3,1.94,460050000
2005,4,-9.04,460050000
2005,5,2.62,460050000
2005,6,3.88,460050000
2005,7,-0.82,460050000
2005,8,-1.16,460050000
2005,9,1.11,460050000
2005,10,-6.29,460050000
2005,11,9.53,460050000
2005,12,2.86,278550000
2006,1,4.77,278550000
2006,2,-3.32,278550000
2006,3,2.32,278550000
2006,4,3.51,278550000
2006,5,-5.27,278550000
2006,6,-2.14,278550000
2006,7,-8.98,278550000
2006,8,-0.18,278550000
2006,9,6.01,278550000
2006,10,5.66,278550000
2006,11,-0.26,278550000
2006,12,9.43,262440000
2007,1,0.62,262440000
2007,2,-6.43,262440000
2007,3,-3.46,262440000
2007,4,7.61,262440000
2007,5,3.52,262440000
2007,6,2.45,262440000
2007,7,-6.84,262440000
2007,8,-8.71,262440000
2007,9,5.36,262440000
2007,10,8.32,262440000
2007,11,-5.71,262440000
2007,12,3.43,229520000
2008,1,-2.21,229520000
2008,2,14.17,229520000
2008,3,1.59,229520000
2008,4,-1.23,229520000
2008,5,6.52,229520000
2008,6,9.88,229520000
2008,7,-10.26,229520000
2008,8,-8.36,229520000
2008,9,2.59,229520000
2008,10,17.48,229520000
2008,11,2.36,229520000
2008,12,1.81,222060000
2009,1,0.82,222060000
2009,2,0.62,222060000
