Year, Month, Return, Assets
1993,4,1.75,1003284.39
1993,5,5.47,1058164.29
1993,6,3.1,1606540.31
1993,7,13.16,1817973.79
1993,8,4.84,1906020.71
1993,9,-6.22,1787537.56
1993,10,-3.53,2686794.32
1993,11,4.13,2795245.79
1993,12,3.49,2889999.4
1994,1,-10.55,2582659.77
1994,2,-11.64,2279794.39
1994,3,0.83,2296450.02
1994,4,0.23,2299222.05
1994,5,8.46,2490920.25
1994,6,2.69,2554813.67
1994,7,-3.59,1946273.19
1994,8,-5.64,1833476.07
1994,9,3.48,1894074.11
1994,10,2.7,1941761.62
1994,11,12.71,2184645.3
1994,12,2.78,2240584.83
1995,1,-5.92,2103330.13
1995,2,1.62,2132667.2
1995,3,12.88,2402217.5
1995,4,5.32,2524433.03
1995,5,11.17,2800579.07
1995,6,0.33,3826533.65
1995,7,-5.94,3593615.52
1995,8,-4.53,3425534.82
1995,9,-2.33,3340576.86
1995,10,1.62,3389758.22
1995,11,5.25,3562641.95
1995,12,26.28,4492590.26
1996,1,-6.84,5106348.92
1996,2,-3.29,4928810.28
1996,3,4.35,5133670.98
1996,4,26.14,12746470.79
1996,5,-5.15,12069949.42
1996,6,0.52,14130870.21
1996,7,-6.38,13428136.78
1996,8,4.17,13961358.89
1996,9,7.35,14978448.81
1996,10,8.53,16231435.66
1996,11,8.96,17727969.9
1996,12,-6.33,16585386.31
1997,1,9.12,30211768.88
1997,2,8.51,32722166.68
1997,3,-1.67,36032147.5
1997,4,-4.86,39122824.47
1997,5,6.84,41725134.89
1997,6,-9.36,37782786.06
1997,7,12.24,63617619.45
1997,8,3.86,65907632.98
1997,9,4.03,68474272.36
1997,10,-2.05,67041291.15
1997,11,0.13,67760582.02
1997,12,3.93,71369524.92
1998,1,-1.04,72097600.2
1998,2,-3.36,69648782.31
1998,3,-1.72,68249637.7
1998,4,-3.55,65638769.44
1998,5,3.27,67596578.51
1998,6,4.67,70532579.42
1998,7,-0.84,69777704.97
1998,8,16.37,81020782.85
1998,9,-1.51,79589331.33
1998,10,-1.66,78354841.33
1998,11,-5.15,74153946.68
1998,12,8.74,80428741.12
1999,1,-9.34,73855367.27
1999,2,1.84,75088386.38
1999,3,-7.46,69337014.1
1999,4,3.9,71872623.46
1999,5,-8.46,65628179.8
1999,6,-1.69,64443281.04
1999,7,0.75,64761323.9
1999,8,2.46,66172430.33
1999,9,4.66,69056013.57
1999,10,-12.91,59975886.32
1999,11,2.85,57235996.02
1999,12,3.21,45542947.89
2000,1,3.82,32168071.61
2000,2,-0.18,36220267.5
2000,3,-4.05,34636131.5
2000,4,1.34,27709227.5
2000,5,8.37,16790739.6
2000,6,-3.59,16128554.1
2000,7,-1.2,15861158.8
2000,8,3.46,16350380.1
2000,9,-1.01,4163919.82
2000,10,4.57,4332165.15
2000,11,9.67,7755109.87
2000,12,8.64,8470119.57
2001,1,-1.79,8334757.11
2001,2,2.46,8677878.61
2001,3,13.89,13287224.12
2001,4,-7.74,12582641.43
2001,5,3.04,13033920.87
2001,6,3.61,13472057.83
2001,7,-3.37,12985760.02
2001,8,1.99,13213003.59
2001,9,5.29,13880967.45
