Year, Month, Return, Assets
1999,8,-3.28,8000000
1999,9,0.07,8000000
1999,10,-6.71,7000000
1999,11,1.44,7000000
1999,12,3.99,8000000
2000,1,1.31,8000000
2000,2,-1.8,7000000
2000,3,-1.78,7000000
2000,4,-0.3,7000000
2000,5,2.31,7000000
2000,6,-2.45,7200000
2000,7,-0.91,7100000
2000,8,1.68,7200000
2000,9,0.91,7300000
2000,10,2.33,7500000
2000,11,4.14,7900000
2000,12,2.6,8100000
2001,1,-0.34,8400000
2001,2,1.18,9000000
2001,3,6.05,9000000
2001,4,-1.7,9000000
2001,5,1.62,9000000
2001,6,-0.61,9000000
2001,7,4.78,9000000
2001,8,2.51,9800000
2001,9,8.33,10700000
2001,10,1.41,11000000
2001,11,-2.75,39000000
2001,12,5.03,41000000
2002,1,-0.93,51000000
2002,2,-0.44,50400000
2002,3,2.05,57900000
2002,4,-1.07,57000000
2002,5,2.17,57000000
2002,6,7.84,75000000
2002,7,5.65,75000000
2002,8,2.79,74000000
2002,9,3.66,87000000
2002,10,-2.52,84000000
2002,11,-1.68,81000000
2002,12,6.68,92000000
2003,1,5.03,104000000
2003,2,3.98,121000000
2003,3,-5.23,123000000
2003,4,3.83,137000000
2003,5,5.47,153000000
2003,6,-2.09,157000000
2003,7,-2.2,272000000
2003,8,0.01,295000000
2003,9,-2.09,281000000
2003,10,2.46,343000000
2003,11,-0.69,292000000
2003,12,0.15,423000000
2004,1,2.2,442000000
2004,2,-2.01,527000000
2004,3,4.91,655000000
2004,4,-3.09,518000000
2004,5,-0.29,511000000
2004,6,-2.31,457000000
2004,7,-1.1,630000000
2004,8,-0.3,622000000
2004,9,1.68,636000000
2004,10,3.03,650000000
2004,11,8.77,721000000
2004,12,1.57,832000000
2005,1,-4.31,646000000
2005,2,2.97,662000000
2005,3,2.11,813000000
2005,4,-3.66,776000000
2005,5,1.17,720000000
2005,6,4.18,776000000
2005,7,3.56,865000000
2005,8,-0.75,889000000
2005,9,1.99,891000000
2005,10,-1.12,922000000
2005,11,3.26,986000000
2005,12,-3.09,981000000
2006,1,1.67,980000000
2006,2,-2.3,817000000
2006,3,0.76,844000000
2006,4,1.74,853000000
2006,5,-3.92,816000000
2006,6,-1.37,713000000
2006,7,-3.66,670000000
2006,8,4.86,671000000
2006,9,0.17,689000000
2006,10,4.87,734000000
2006,11,3.32,756000000
2006,12,5.46,783000000
2007,1,1.75,852000000
2007,2,-4.32,779000000
2007,3,-3.59,590000000
2007,4,5.73,652000000
2007,5,7.42,732000000
2007,6,3.62,801000000
2007,7,-2.7,671000000
2007,8,-2.77,596000000
2007,9,7.97,733000000
2007,10,8.75,837000000
2007,11,-2.39,799000000
2007,12,1.36,829000000
2008,1,-0.63,764000000
2008,2,5.24,872000000
2008,3,0.99,897000000
2008,4,0.73,934000000
2008,5,3.54,977000000
2008,6,2.88,1200000000
2008,7,-2.09,1127000000
2008,8,-1.15,1076000000
2008,9,5.35,1120000000
2008,10,7.9,1359000000
2008,11,2.6,1392000000
2008,12,2.04,1385000000
2009,1,-0.24,1621700000
2009,2,0.91,1249000000
2009,3,-3.41,1153000000
2009,4,0.14,1081000000
2009,5,1.2,1134000000
2009,6,-0.95,1135000000
2009,7,-2.25,1094000000
2009,8,0.21,1101000000
2009,9,-0.77,1080000000
2009,10,-3.36,1062000000
2009,11,2.25,1114000000
2009,12,-4.9,910000000
2010,1,-3.98,857000000
2010,2,1.35,869000000
2010,3,8.14,999000000
2010,4,1.93,1020000000
2010,5,-4.41,919000000
2010,6,-0.18,908000000
2010,7,-0.86,869000000
2010,8,2.85,892000000
2010,9,3.34,910000000
2010,10,3.65,981000000
2010,11,-0.81,982000000
2010,12,3.73,1068000000
2011,1,-0.94,1027000000
2011,2,1.78,1053000000
2011,3,-2.1,956000000
2011,4,2.81,1000000000
2011,5,-4.46,911000000
2011,6,-2.66,863000000
2011,7,2.01,890000000
2011,8,-3.5,805000000
2011,9,-2.03,755000000
2011,10,-2.15,733000000
2011,11,0.29,622000000
2011,12,1.76,614000000
2012,1,1.16,617000000
2012,2,2.32,620000000
2012,3,-0.87,605000000
2012,4,0.67,603000000
2012,5,7.71,689000000
2012,6,-5.28,616000000
2012,7,4.35,645000000
2012,8,-1.57,606000000
2012,9,-2.94,563000000
2012,10,-3.67,507000000
2012,11,-0.13,504000000
2012,12,0.52,493000000
2013,1,0.3,472000000
2013,2,-1.2,454000000
2013,3,2.35,464000000
2013,4,2.8,466000000
2013,5,-4.57,416000000
2013,6,-0.66,397000000
2013,7,0.13,378000000
2013,8,-2.4,358000000
2013,9,-1.29,346000000
2013,10,1.5,348000000
2013,11,0.78,333000000
2013,12,1.39,224000000
2014,1,-2.83,212000000
2014,2,1.12,213000000
2014,3,0.84,213000000
2014,4,1.98,213000000
2014,5,3.88,227000000
2014,6,1,243000000
2014,7,-1.47,207000000
2014,8,4.36,217000000
2014,9,3.21,227000000
2014,10,-1.96,279900000
2014,11,7.07,297000000
2014,12,1.21,317000000
2015,1,5.01,320000000
2015,2,-0.92,320000000
2015,3,2.26,331000000
2015,4,-3.5,316000000
2015,5,-2.78,301000000
2015,6,-5.59,277000000
2015,7,7.61,309000000
2015,8,-6.26,277000000
2015,9,5.14,299000000
2015,10,-2.63,286000000
2015,11,7.14,316000000
2015,12,-5.27,291000000
2016,1,4.93,314000000
2016,2,5.17,334000000
2016,3,-2.03,325000000
2016,4,-3.8,308000000
2016,5,-3.26,311000000
2016,6,7.52,336000000
2016,7,2.7,347000000
2016,8,-1.76,339000000
2016,9,-1.16,328000000
2016,10,-4,322000000
2016,11,1.06,328000000
2016,12,2.81,342000000
2017,1,-2.18,341000000
2017,2,4.45,362000000
2017,3,-2.81,348000000
2017,4,-2.15,335000000
2017,5,-1.1,326000000
2017,6,-3.96,307000000
2017,7,0.75,308000000
2017,8,4.86,335000000
2017,9,-6.23,305000000
2017,10,8.48,341000000
2017,11,-0.21,341000000
2017,12,1.87,343000000
2018,1,4.57,363000000
2018,2,-8.22,322000000
2018,3,-0.7,321000000
2018,4,0.84,323000000
2018,5,-0.66,320000000
2018,6,1.81,329000000
2018,7,0.81,328000000
2018,8,3.4,336000000
2018,9,-1.21,330000000
2018,10,-6.48,301000000
2018,11,-1.62,297000000
2018,12,-0.73,293000000
2019,1,-4.9,271000000
2019,2,1.89,279000000
2019,3,5.79,311000000
2019,4,4.03,336000000
2019,5,-4.47,314000000
2019,6,1.6,318000000
2019,7,7.23,348000000
2019,8,1.65,356000000
2019,9,-4.92,321000000
2019,10,-4.68,291000000
2019,11,0.16,298000000
2019,12,-0.03,300000000
2020,1,0,375000000
2020,2,-0.65,312000000
2020,3,-2.52,298000000
2020,4,1.61,286000000
