Year, Month, Return, Assets
1995,1,-6.16,1800000
1995,2,9.57,2100000
1995,3,10.15,2300000
1995,4,2.16,2300000
1995,5,6.49,2500000
1995,6,3.63,2500000
1995,7,-3.7,2400000
1995,8,-0.58,2300000
1995,9,1.75,2300000
1995,10,-3.81,2200000
1995,11,2.07,2300000
1995,12,5.7,2400000
1996,1,5.38,2600000
1996,2,-6.65,2400000
1996,3,-0.48,2300000
1996,4,8.59,2600000
1996,5,-4.4,2400000
1996,6,-0.3,2400000
1996,7,3.88,2500000
1996,8,7.26,2700000
1996,9,7.51,2400000
1996,10,10.37,2700000
1996,11,1.46,2700000
1996,12,-3.12,2600000
1997,1,9.64,2900000
1997,2,5.12,6600000
1997,3,-2.17,6100000
1997,4,-4.07,9500000
1997,5,-0.62,8000000
1997,6,0.2,8100000
1997,7,19.27,10500000
1997,8,1.02,10500000
1997,9,1.87,11500000
1997,10,-8.58,9900000
1997,11,5.72,10800000
1997,12,7.95,12000000
1998,1,0.25,12100000
1998,2,0.21,12400000
1998,3,2.79,12600000
1998,4,-5.43,11900000
1998,5,3.55,12300000
1998,6,1.36,51100000
1998,7,-4.75,43000000
1998,8,19.57,55300000
1998,9,1.93,57900000
1998,10,0.86,52300000
1998,11,-1.06,54800000
1998,12,2.7,57200000
1999,1,-3.86,51800000
1999,2,1.22,57900000
1999,3,-2.77,56000000
1999,4,3.11,56700000
1999,5,-3.1,53000000
1999,6,4.51,57500000
1999,7,1.95,58600000
1999,8,-2.51,45000000
1999,9,0.63,44000000
1999,10,-6.82,41000000
1999,11,1.84,31000000
1999,12,4.29,32000000
2000,1,1.55,33000000
2000,2,-1.99,23000000
2000,3,-2.29,20000000
2000,4,0.14,19000000
2000,5,2.52,19000000
2000,6,-2.44,17500000
2000,7,-0.77,16700000
2000,8,1.81,21100000
2000,9,0.62,18200000
2000,10,2.54,16000000
2000,11,5.97,15100000
2000,12,4.47,10900000
2001,1,0.72,11000000
2001,2,0.6,7000000
2001,3,6.75,7000000
2001,4,-1.48,33000000
2001,5,1.29,33000000
2001,6,-1.36,33000000
2001,7,4.72,34000000
2001,8,2.37,36000000
2001,9,7.82,45000000
2001,10,1.07,57000000
2001,11,-3.12,56000000
2001,12,4.86,59000000
2002,1,-1.17,59000000
2002,2,-0.69,74000000
2002,3,2,77000000
2002,4,-0.99,90000000
2002,5,2.34,109000000
2002,6,8.41,137000000
2002,7,5.97,162000000
2002,8,2.78,178000000
2002,9,3.44,198000000
2002,10,-2.72,186000000
2002,11,-1.71,188000000
2002,12,6.58,207000000
2003,1,5.18,232000000
2003,2,4.03,244000000
2003,3,-5.04,239000000
2003,4,3.77,335000000
2003,5,5.81,501000000
2003,6,-2.45,566000000
2003,7,-2.36,690000000
2003,8,-0.1,717000000
2003,9,-2.04,705000000
2003,10,2.49,757000000
2003,11,-0.69,820000000
2003,12,0.22,831000000
2004,1,2.08,827000000
2004,2,4.94,911000000
2004,3,-2.18,906000000
2004,4,-3.17,967000000
2004,5,-0.25,1010000000
2004,6,-2.35,1011000000
2004,7,-1.34,970000000
2004,8,-0.42,1007000000
2004,9,1.63,1045000000
2004,10,3.2,1040000000
2004,11,8.97,1156000000
2004,12,1.71,1299000064
2005,1,-4.35,1239000064
2005,2,2.74,1304999936
2005,3,2.03,1292000000
2005,4,-3.48,1228999936
2005,5,1.03,1278000000
2005,6,4.02,1318000000
2005,7,3.26,1414000000
2005,8,-0.49,1424999936
2005,9,1.8,1444999936
2005,10,-0.67,1495000064
2005,11,3.4,1439000064
2005,12,-3,1376999936
2006,1,1.78,1350000000
2006,2,-2.26,1474000000
2006,3,0.89,1504999936
2006,4,1.94,1548000000
2006,5,-3.78,1510000000
2006,6,-1.26,1490000000
2006,7,-3.69,1438000000
2006,8,4.72,1530000000
2006,9,0.12,1532000000
2006,10,4.56,1628999936
2006,11,3.68,1698000000
2006,12,5.29,1844000000
2007,1,1.64,1840000000
2007,2,-4.07,1620999936
2007,3,-3.24,1472000000
2007,4,5.69,1468999936
2007,5,6.84,1543000064
2007,6,3.65,1898000000
2007,7,-2.5,1787000064
2007,8,-2.44,1686000000
2007,9,7.81,1963000064
2007,10,9.02,2224999936
2007,11,-2.16,2304999936
2007,12,1.32,2338500096
2008,1,-0.48,2409999872
2008,2,5.55,2856000000
2008,3,1.33,3078000128
2008,4,0.59,3147000064
2008,5,3.28,3431000064
2008,6,3.03,3747000064
2008,7,-2.38,3912000000
2008,8,-1.38,3984000000
2008,9,4.95,4506999808
2008,10,7.12,4894000128
2008,11,2.57,4777999872
2008,12,2.29,4753262082
2009,1,-0.27,4697513000
2009,2,0.76,4698000000
2009,3,-3.34,4456000000
2009,4,0.18,4468000000
2009,5,1.28,4685000000
2009,6,-1.1,4808000000
2009,7,-2.3,4778000000
2009,8,0.23,4907000000
2009,9,-0.93,4904000000
2009,10,-3.48,4759000000
2009,11,2.11,5070000000
2009,12,-4.79,4767000000
2010,1,-3.9,4493000000
2010,2,1.18,4370000000
2010,3,8.18,4855000000
2010,4,1.82,5095000000
2010,5,-4.58,4820000000
2010,6,-0.22,4800000000
2010,7,-0.86,4710000000
2010,8,2.75,4922000000
2010,9,3.59,5257000000
2010,10,3.91,5669000000
2010,11,-0.82,5608000000
2010,12,3.6,5826000000
2011,1,-0.77,5851000000
2011,2,1.77,6112000000
2011,3,-2.14,6168000000
2011,4,2.85,6683000000
2011,5,-4.46,6643000000
2011,6,-2.59,6989000000
2011,7,1.89,7289000000
2011,8,-3.2,7143000000
2011,9,-2,7177000000
2011,10,-2.11,6784000000
2011,11,0.48,7011000000
2011,12,1.58,7230000000
2012,1,1.09,7316000000
2012,2,2.31,7648000000
2012,3,-0.89,7496000000
2012,4,0.55,7534000000
2012,5,7.53,8163000000
2012,6,-5.27,7604000000
2012,7,4.04,7822000000
2012,8,-1.41,7737000000
2012,9,-3.07,7404000000
2012,10,-3.65,7044000000
2012,11,-0.34,6865000000
2012,12,0.5,6787000000
2013,1,0.17,6668000000
2013,2,-1.32,6529000000
2013,3,2.18,6654000000
2013,4,2.9,6816000000
2013,5,-4.58,6407000000
2013,6,-0.54,6304000000
2013,7,0.44,6084000000
2013,8,-2.53,5846000000
2013,9,-1.18,5730000000
2013,10,1.31,5637000000
2013,11,0.87,5705000000
2013,12,1.92,5691000000
2014,1,-3.25,5339000000
2014,2,1.04,5370000000
2014,3,0.63,5302000000
2014,4,1.5,5305000000
2014,5,3.33,5327000000
2014,6,0.96,5061000000
2014,7,-1.41,4863000000
2014,8,4.08,5193000000
2014,9,3.48,5191000000
2014,10,-2.06,4930000000
2014,11,6.91,4790000000
2014,12,1.44,4870000000
2015,1,4.1,4966000000
2015,2,-1.01,5276000000
2015,3,2.03,5411000000
2015,4,-3.53,5195000000
2015,5,-3.01,5273000000
2015,6,-5.63,5011000000
2015,7,7.84,5476000000
2015,8,-6.25,4746000000
2015,9,5.02,5071000000
2015,10,-2.48,4865000000
2015,11,7.08,4174000000
2015,12,-5.24,4749000000
2016,1,4.71,4841000000
2016,2,5.65,5090000000
2016,3,-1.89,4964000000
2016,4,-4.04,4757000000
2016,5,-3.23,4607000000
2016,6,7.54,4878000000
2016,7,2.91,4845000000
2016,8,-1.85,4630000000
2016,9,-1.3,4582000000
2016,10,-3.86,4307000000
2016,11,0.99,4310000000
2016,12,2.61,4301000000
2017,1,-2.2,4124000000
2017,2,4.38,4099000000
2017,3,-3.02,3982000000
2017,4,-2.12,3972000000
2017,5,-1.1,3910000000
2017,6,-3.89,3741000000
2017,7,0.94,3754000000
2017,8,5.07,3979000000
2017,9,-6.41,3542000000
2017,10,8.79,3846000000
2017,11,0.05,3861000000
2017,12,2.05,3913000000
2018,1,4.39,4118000000
