Year, Month, Return, Assets
1999,2,0.8,3000000
1999,3,-2.37,12800000
1999,4,2.19,13700000
1999,5,-2.24,13800000
1999,6,3.12,25300000
1999,7,0.97,25500000
1999,8,-1.9,25000000
1999,9,0.6,89000000
1999,10,-4.63,85000000
1999,11,0.95,88000000
1999,12,2.77,93000000
2000,1,0.9,99000000
2000,2,-1.34,102000000
2000,3,-1.49,98000000
2000,4,-0.13,95000000
2000,5,1.64,83000000
2000,6,-1.67,67100000
2000,7,-0.49,61000000
2000,8,1.61,54300000
2000,9,0.56,54300000
2000,10,1.72,53700000
2000,11,3.47,55800000
2000,12,2.13,64100000
2001,1,0.32,70800000
2001,2,0.79,71000000
2001,3,3.86,74000000
2001,4,-1.48,70000000
2001,5,0.86,70000000
2001,6,-0.56,70000000
2001,7,3.2,72000000
2001,8,1.43,71600000
2001,9,5.23,89100000
2001,10,0.72,93700000
2001,11,-1.61,91000000
2001,12,3.23,83000000
2002,1,-0.7,97000000
2002,2,-0.19,96700000
2002,3,1.11,97000000
2002,4,-0.59,99000000
2002,5,1.59,91000000
2002,6,4.84,88000000
2002,7,3.39,87000000
2002,8,1.94,88000000
2002,9,2.35,114000000
2002,10,-1.57,108000000
2002,11,-0.92,108000000
2002,12,4.49,118000000
2003,1,3.4,119000000
2003,2,2.75,135000000
2003,3,-3.45,130000000
2003,4,2.5,139000000
2003,5,3.66,143000000
2003,6,-1.5,172000000
2003,7,-1.39,170000000
2003,8,-0.04,164000000
2003,9,-1.15,162000000
2003,10,1.68,192000000
2003,11,-0.43,165000000
2003,12,0.14,165000000
2004,1,1.47,158000000
2004,2,3.28,207000000
2004,3,-1.08,164000000
2004,4,-2.06,163000000
2004,5,-0.21,173000000
2004,6,-1.5,171000000
2004,7,-1.02,169000000
2004,8,-0.33,167000000
2004,9,1.07,169000000
2004,10,1.91,158000000
2004,11,5.67,168000000
2004,12,1.04,173000000
2005,1,-3.04,184000000
2005,2,1.79,193000000
2005,3,1.29,194000000
2005,4,-2.36,187000000
2005,5,0.61,193000000
2005,6,2.72,197000000
2005,7,2.18,271000000
2005,8,-0.44,267000000
2005,9,1.28,272000000
2005,10,-0.43,271000000
2005,11,2.25,280000000
2005,12,-1.99,307000000
2006,1,1.04,318000000
2006,2,-1.67,312000000
2006,3,0.72,319000000
2006,4,1.06,339000000
2006,5,-2.62,328000000
2006,6,-0.9,329000000
2006,7,-2.62,320000000
2006,8,2.88,338000000
2006,9,0.07,332000000
2006,10,2.57,330000000
2006,11,2.06,333000000
2006,12,3.09,360000000
2007,1,0.73,416000000
2007,2,-2.92,399000000
2007,3,-2.2,447000000
2007,4,3.51,473000000
2007,5,4.32,488000000
2007,6,2.47,482000000
2007,7,-1.67,480000000
2007,8,-1.59,526000000
2007,9,4.48,545000000
2007,10,5.66,566000000
2007,11,-1.53,565000000
2007,12,0.82,571000000
2008,1,-0.46,575000000
2008,2,3.51,589000000
2008,3,0.71,601000000
2008,4,0.3,658000000
2008,5,2.05,640000000
2008,6,2.05,651000000
2008,7,-1.94,659000000
2008,8,-0.93,660000000
2008,9,3.82,694000000
2008,10,5.49,631000000
2008,11,1.73,649000000
2008,12,1.28,656000000
2009,1,-0.21,889000000
2009,2,0.43,700000000
2009,3,-2.32,683000000
2009,4,0.16,681000000
2009,5,0.78,711000000
2009,6,-0.65,777000000
2009,7,-1.47,759000000
2009,8,0.09,759000000
2009,9,-0.57,756000000
2009,10,-2.49,743000000
2009,11,1.38,746000000
2009,12,-3.16,669000000
2010,1,-2.77,644000000
2010,2,0.73,633000000
2010,3,5.3,649000000
2010,4,1.17,666000000
2010,5,-2.99,657000000
2010,6,-0.17,648000000
2010,7,-0.65,645000000
2010,8,1.73,653000000
2010,9,2.01,643000000
2010,10,2.41,710000000
