Year, Month, Return, Assets
1997,9,3.93,30000000
1997,10,3.06,30000000
1997,11,2.8,30000000
1997,12,3.33,30000000
1998,1,1.75,30000000
1998,2,-0.19,30000000
1998,3,3.03,30000000
1998,4,0.21,30000000
1998,5,2.78,30000000
1998,6,1.34,30000000
1998,7,-0.02,30000000
1998,8,2.14,30000000
1998,9,5.45,30000000
1998,10,6.35,30000000
1998,11,5.78,30000000
1998,12,0.98,30000000
1999,1,3.4,60000000
1999,2,0.86,60000000
1999,3,-0.97,60000000
1999,4,6.7,60000000
1999,5,1.35,60000000
1999,6,2.1,60000000
1999,7,1.03,60000000
1999,8,-0.13,60000000
1999,9,2.27,60000000
1999,10,-3.37,60000000
1999,11,3.5,60000000
1999,12,3.34,60000000
2000,1,2.88,60000000
2000,2,3.31,60000000
2000,3,3.35,60000000
2000,4,-0.42,60000000
2000,5,1.44,60000000
2000,6,-3.03,60000000
2000,7,-1.24,60000000
2000,8,0.4,60000000
2000,9,-1.7,60000000
2000,10,0.24,60000000
2000,11,0.5,60000000
2000,12,2.59,60000000
2001,1,2,60000000
2001,2,-1.7,60000000
2001,3,4.46,60000000
2001,4,-0.98,60000000
2001,5,3.18,60000000
2001,6,-0.99,60000000
2001,7,0.81,60000000
2001,8,3.69,60000000
2001,9,-0.5,60000000
2001,10,0.13,60000000
2001,11,-3.8,60000000
2001,12,2.8,60000000
2002,1,-2.1,60000000
2002,2,0.54,60000000
2002,3,0.57,60000000
2002,4,-1.8,100000000
2002,5,3.96,100000000
2002,6,7.39,100000000
2002,7,1.72,100000000
2002,8,-0.1,100000000
2002,9,2.7,100000000
2002,10,-1.54,100000000
2002,11,-1.8,100000000
2002,12,4.06,100000000
2003,1,1.26,200000000
2003,2,3.83,200000000
2003,3,-2.17,200000000
2003,4,2.16,200000000
2003,5,3.97,200000000
2003,6,1.14,200000000
2003,7,-0.42,200000000
2003,8,1.11,200000000
2003,9,1.78,200000000
2003,10,-3.2,200000000
2003,11,2.09,200000000
2003,12,3.6,200000000
2004,1,3.69,240000000
2004,2,1.1,240000000
2004,3,0.16,240000000
2004,4,0.07,240000000
2004,5,0.45,240000000
2004,6,-1.44,240000000
2004,7,-4.86,240000000
2004,8,1.61,240000000
2004,9,0.96,240000000
2004,10,4,240000000
2004,11,-0.27,190000000
2004,12,-0.21,226000000
2005,1,0.8,285000000
2005,2,-0.13,320000000
2005,3,-1.2,345000000
2005,4,-2.68,330000000
2005,5,0.5,315000000
2005,6,-0.04,290000000
2005,7,-2.63,280000000
2005,8,-1.13,260000000
2005,9,-2.19,160000000
2005,10,0.58,160000000
2005,11,-0.89,145000000
2005,12,0.39,130000000
2006,1,-1.9,120000000
2006,2,-1.24,45000000
2006,3,2.14,26000000
2006,4,3.15,26000000
2006,5,2.29,26000000
2006,6,-2.19,26000000
2006,7,1.03,26000000
2006,8,-0.43,26000000
2006,9,0.89,26000000
2006,10,-0.23,4000000
2006,11,3.63,4000000
2006,12,2.16,4000000
2007,1,1.43,4000000
2007,2,-0.08,4000000
2007,3,-0.45,4000000
2007,4,2.43,4000000
2007,5,3.57,4000000
2007,6,1.41,4000000
2007,7,-1.71,4000000
2007,8,-0.63,4000000
2007,9,3.13,4000000
2007,10,2.78,4000000
2007,11,-0.22,4000000
2007,12,0.96,4000000
2008,1,1.57,4000000
2008,2,2.78,4000000
2008,3,0.47,4000000
2008,4,0.13,4000000
2008,5,0.72,4000000
2008,6,-0.88,4000000
2008,7,-2.63,4000000
2008,8,3.12,4000000
2008,9,2.74,4000000
2008,10,8.09,4000000
2008,11,-2.17,4000000
2008,12,2.41,4000000
2009,1,0.74,4000000
2009,2,-1.82,4000000
2009,3,-1.43,4000000
2009,4,0.6,4000000
2009,5,2.64,4000000
2009,6,-0.56,4000000
2009,7,-2.31,4000000
2009,8,1.79,4000000
2009,9,0.87,4000000
2009,10,0.614,4000000
2009,11,-1.197,4000000
2009,12,-0.2,4000000
2010,1,-1.57,4000000
2010,2,-0.75,4000000
2010,3,1.27,4000000
2010,4,-0.36,4000000
2010,5,0.49,4000000
2010,6,1.3,4000000
2010,7,1.22,4000000
2010,8,0.06,4000000
2010,9,0.4,4000000
2010,10,0.3,4000000
2010,11,1.01,4000000
2010,12,0.99,4000000
2011,1,-0.02,4000000
2011,2,-1.39,4000000
2011,3,2.64,4000000
2011,4,3.8,4000000
2011,5,-1.02,4000000
2011,6,0.05,4000000
2011,7,0.49,4000000
2011,8,4.29,4000000
2011,9,3.44,4000000
2011,10,-3.55,4000000
2011,11,-0.99,4000000
2011,12,2.23,4000000
2012,1,-3.22,4000000
2012,2,1.11,4000000
2012,3,0.13,4000000
2012,4,0,4000000
2012,5,6.14,4000000
2012,6,-0.12,4000000
2012,7,3.08,4000000
2012,8,-0.23,4000000
2012,9,-0.11,4000000
2012,10,0.1,4000000
2012,11,-1.39,4000000
2012,12,1.18,4000000
2013,1,1.3,6000000
2013,2,-2,6000000
2013,3,0.84,6000000
2013,4,-1.58,6000000
2013,5,4.34,6000000
2013,6,-0.26,6000000
2013,7,-3.72,8000000
2013,8,-0.98,8000000
2013,9,-0.55,8000000
2013,10,-1.96,8000000
2013,11,1.04,8000000
2013,12,-1.35,8000000
2014,1,-0.27,6000000
2014,2,-0.76,6000000
2014,3,-0.76,6000000
2014,4,-0.2,6000000
2014,5,-0.68,6000000
2014,6,-1.56,6000000
2014,7,-0.45,6000000
2014,8,-2.91,6000000
2014,9,-1.35,6000000
2014,10,-0.86,6000000
2014,11,3.86,4000000
2014,12,14.12,5000000
2015,1,7.88,5000000
2015,2,-0.06,5000000
2015,3,-3.05,5000000
2015,4,2.09,5000000
2015,5,0.8,5000000
2015,6,0.94,5000000
2015,7,-6.42,5000000
2015,8,6.53,5000000
2015,9,-0.78,5000000
2015,10,2.16,5000000
2015,11,1.35,5000000
2015,12,-2.06,5000000
2016,1,1.34,5000000
2016,2,0.51,5000000
2016,3,3.61,5000000
2016,4,1.19,5000000
2016,5,1.22,5000000
2016,6,-4.92,5000000
2016,7,1.42,5000000
2016,8,1.17,5000000
2016,9,-2.32,5000000
2016,10,4.55,5000000
2016,11,10.04,5000000
2016,12,2.81,5000000
2017,1,-1.4,5000000
2017,2,0.88,5000000
2017,3,-2.21,5000000
2017,4,-0.53,5000000
2017,5,4.85,5000000
2017,6,1.55,5000000
2017,7,0.87,5000000
2017,8,-2.54,5000000
2017,9,1.05,5000000
2017,10,-0.76,5000000
2017,11,-0.59,5000000
2017,12,3.62,5000000
2018,1,7.79,7000000
2018,2,-3.92,7000000
2018,3,-2.3,7000000
2018,4,1.34,7000000
2018,5,2.97,7000000
2018,6,-1.77,7000000
2018,7,-2.77,7000000
2018,8,-0.9,7000000
2018,9,-1.36,8000000
2018,10,2.2,8000000
2018,11,-2.82,8000000
2018,12,4.79,8000000
2019,1,0.44,8000000
2019,2,0.22,8000000
2019,3,-3.59,8000000
2019,4,-1.51,8000000
2019,5,5.05,8000000
2019,6,-0.21,8000000
2019,7,-3.55,8000000
2019,8,3.79,8000000
2019,9,-0.18,8000000
2019,10,-0.09,8000000
2019,11,0.58,8000000
2019,12,0.75,8000000
2020,1,0.17,8000000
2020,2,6.35,8000000
2020,3,-0.04,8000000
2020,4,-0.05,8000000
