Year, Month, Return, Assets
1997,1,2.65,800000
1997,2,3.93,800000
1997,3,3.22,800000
1997,4,1.67,800000
1997,5,8.53,800000
1997,6,0.38,800000
1997,7,-1.39,800000
1997,8,0.39,800000
1997,9,2.46,900000
1997,10,-4.9,900000
1997,11,2.34,900000
1997,12,4.12,900000
1998,1,2.1,900000
1998,2,0.7,900000
1998,3,2.36,1000000
1998,4,3.47,1000000
1998,5,3.39,1000000
1998,6,4.19,1100000
1998,7,0.54,1100000
1998,8,-1.8,1100000
1998,9,8.06,1300000
1998,10,2.95,1300000
1998,11,0.38,1300000
1998,12,0.49,1300000
1999,1,5.19,1300000
1999,2,3.04,1300000
1999,3,2.5,1300000
1999,4,1.6,1500000
1999,5,2.76,1500000
1999,6,2.07,1500000
1999,7,2.9,1500000
1999,8,2.13,1500000
1999,9,3.2,1700000
1999,10,-4.4,1600000
1999,11,2.2,1600000
1999,12,0.89,1400000
2000,1,2.52,1500000
2000,2,2.32,1500000
2000,3,1.62,1600000
2000,4,1.23,2200000
2000,5,-1.36,2200000
2000,6,3.24,2100000
2000,7,2.54,2200000
2000,8,1.92,2300000
2000,9,2.82,2600000
2000,10,2.09,2600000
2000,11,1.58,2800000
2000,12,1.39,2800000
2001,1,3.4,2900000
2001,2,-1.04,2800000
2001,3,-0.26,2900000
2001,4,-6.02,3000000
2001,5,2.11,3000000
2001,6,-0.25,3000000
2001,7,0.66,3000000
2001,8,2.2,2900000
2001,9,-6.15,2800000
2001,10,3.73,2900000
2001,11,1.69,3200000
2001,12,2.45,3800000
2002,1,2.48,3800000
2002,2,1.1,4200000
2002,3,0.4,4600000
2002,4,1.44,4700000
2002,5,0.63,4900000
2002,6,1.07,4900000
2002,7,1.25,4900000
2002,8,2.33,5500000
2002,9,2.47,6100000
2002,10,-1.98,9678000
2002,11,-1.64,10200000
2002,12,5.19,13500000
2003,1,2.35,14500000
2003,2,1.8,16400000
2003,3,2.63,17200000
2003,4,-0.31,17809000
2003,5,1.23,20600000
2003,6,1.71,21670000
2003,7,-0.87,22700000
2003,8,2.99,24200000
2003,9,0.52,26400000
2003,10,0.51,27000000
2003,11,4.07,28700000
2003,12,0.16,30700000
2004,1,1.55,30449000
2004,2,0.97,31771000
2004,3,3.22,36200000
2004,4,1.54,42500000
2004,5,2.18,50160000
2004,6,0.71,58580000
2004,7,3.23,64523000
2004,8,-0.17,69261000
2004,9,1.01,74946337
2004,10,3.03,85647399
2004,11,-1.28,90332022
2004,12,-0.26,95845194
2005,1,0.47,99729433
2005,2,1.69,103547744
2005,3,1.69,108011408
2005,4,1.92,111331632
2005,5,1.33,115744364
2005,6,0.13,124701577
2005,7,-2.27,142804819
2005,8,2.89,155406053
2005,9,1.46,162332802
2005,10,0.45,163340450
2005,11,0.55,161469041
2005,12,0.71,162066220
2006,1,0.25,127196315
2006,2,0.41,127196315
2006,3,1.94,163584728
2006,4,1.47,209764876
2006,5,0.93,235864888
2006,6,1.65,262450981
2006,7,2.51,301256179
2006,8,1,311578003
2006,9,0.79,313133488
2006,10,1.06,315839432
2006,11,0.71,315466548
2006,12,0.98,334681993
2007,1,1.5,339437753
2007,2,-3.86,330100504
2007,3,-0.72,329718091
2007,4,-1.86,316803795
2007,5,1.72,314213202
2007,6,4.17,306958547
2007,7,-5.63,277312440
2007,8,5.02,280006758
2007,9,3.11,270144249
2007,10,3.96,288477095
2007,11,5.57,300709256
2007,12,1.79,312045103
2008,1,-5.15,307234346
2008,2,1.12,321218618
2008,3,2.04,334052312
2008,4,2.3,335187919
2008,5,3,344647313
2008,6,1.89,356341366
2008,7,0.24,355173540
2008,8,0.01,355728763
2008,9,-14.1,306893901
2008,10,-6.4,284517168
2008,11,-2.3,268771856
2008,12,-0.21,262224761
2009,1,2.34,254323043
2009,2,4.06,250878504
2009,3,0.07,248286925
2009,4,0.05,248008235
2009,5,2.67,256099644
2009,6,3.04,259210507
2009,7,0.53,256367348
2009,8,0.42,261485701
2009,9,0.8,266446829
2009,10,-0.63,269913725
2009,11,2.45,283999569
2009,12,1.51,290070484
2010,1,0.46,291953621
2010,2,3.79,308560091
2010,3,0.01,313047558
2010,4,0.43,326642863
2010,5,-14.74,280543989
2010,6,-0.23,279118049
2010,7,-0.14,272845492
2010,8,3.28,279216193
2010,9,0.51,273038451
2010,10,-0.61,266296491
2010,11,2.12,266564755
2010,12,-0.37,242925825
2011,1,0.19,227096633
2011,2,0.62,221975740
2011,3,2.5,214645957
2011,4,1.5,208381564
2011,5,2.32,198528662
2011,6,2.06,195487245
2011,7,-1.58,190514295
2011,8,-4.49,177033523
2011,9,1.59,178441754
2011,10,-0.55,169518721
2011,11,4.39,161659579
2011,12,3.63,168296820
2012,1,0.49,167668771
2012,2,-0.38,163553575
2012,3,-0.02,160442513
2012,4,2.57,156960574
2012,5,2.15,162811303
2012,6,2.6,171443757
2012,7,0.22,172811273
2012,8,0.04,175502157
2012,9,1.12,175664740
2012,10,1.66,178534738
2012,11,0.12,179389585
2012,12,1.51,181421430
2013,1,-0.35,184428234
2013,2,0.07,181394097
2013,3,0.02,179606449
2013,4,0.04,182564167
2013,5,-1.08,180216387
2013,6,-1.67,180387897
2013,7,-0.15,180612772
2013,8,4.13,186465342
2013,9,-0.44,185865043
2013,10,-0.25,183363159
2013,11,-0.42,181243200
2013,12,0.75,181496149
2014,1,-0.11,179124491
2014,2,0.22,177020773
2014,3,1.18,177214223
2014,4,0.96,175818072
2014,5,0.47,172014247
2014,6,-0.56,167097383
2014,7,0.4,162850614
