Year, Month, Return, Assets
2004,6,-3.74,37000000
2004,7,-3.1,34000000
2004,8,4.01,33000000
2004,9,2.18,35000000
2004,10,2.65,46000000
2004,11,6.22,50000000
2004,12,2.08,52000000
2005,1,-5.53,49000000
2005,2,0.56,39000000
2005,3,2.32,22000000
2005,4,-3.38,21000000
2005,5,4.33,20000000
2005,6,1.02,20000000
2005,7,3.64,20000000
2005,8,1.83,23000000
2005,9,5.48,23000000
2005,10,-2.23,22000000
2005,11,7.14,22000000
2005,12,-0.69,38000000
2006,1,4.02,41000000
2006,2,-2.33,40000000
2006,3,7.3,91000000
2006,4,10.77,99000000
2006,5,-0.83,113000000
2006,6,-5.76,117000000
2006,7,-4.64,118000000
2006,8,4.9,135000000
2006,9,0.11,147000000
2006,10,-2.52,160000000
2006,11,5.47,170000000
2006,12,-0.85,171000000
2007,1,2.87,182000000
2007,2,-1.24,185000000
2007,3,-7.24,171000000
2007,4,6.62,196000000
2007,5,3.53,291000000
2007,6,5.21,311000000
2007,7,-2.84,302000000
2007,8,-9.15,294000000
2007,9,9.28,328000000
2007,10,7.23,349000000
2007,11,-1.43,371000000
2007,12,-0.52,329000000
2008,1,3.46,354000000
2008,2,6.2,389000000
2008,3,0.82,410000000
2008,4,0.69,417000000
2008,5,4.02,479000000
2008,6,2.57,516000000
2008,7,-4.95,497000000
2008,8,-3.72,479000000
2008,9,1.05,484000000
2008,10,4.27,487000000
2008,11,6.27,516000000
2008,12,2.76,500000000
2009,1,-2.3,476000000
2009,2,-2.29,474000000
2009,3,-0.87,506000000
2009,4,-2.99,485000000
2009,5,3.34,481000000
2009,6,-0.89,489000000
2009,7,-1.51,477000000
2009,8,1.27,490000000
2009,9,0.34,506000000
2009,10,-1.82,494000000
2009,11,5.06,520000000
2009,12,-2.71,504000000
2010,1,-6.76,475000000
2010,2,2.48,481000000
2010,3,4.42,485000000
2010,4,4.59,493000000
2010,5,-4.06,452000000
2010,6,1.32,439000000
2010,7,1.07,373000000
2010,8,2.46,379000000
2010,9,3.86,389000000
2010,10,4.58,477000000
2010,11,-3.21,470000000
2010,12,7.51,551000000
2011,1,1.55,583000000
2011,2,3.25,694000000
2011,3,-3.25,707000000
2011,4,2.42,764000000
2011,5,-8.86,802000000
2011,6,-1.58,922000000
2011,7,4.32,1025000000
2011,8,-3.51,1098000000
2011,9,-2.28,1053000000
2011,10,-5.49,1014000000
2011,11,-1.76,1001000000
2011,12,0.53,1004000000
2012,1,-1.15,962000000
2012,2,1.31,974000000
2012,3,-1.41,951000000
2012,4,0.85,930000000
2012,5,1.33,928000000
2012,6,-4.71,846000000
2012,7,5.27,894000000
2012,8,-1.26,873000000
2012,9,-2.86,839000000
2012,10,-3.95,710000000
2012,11,-0.85,699000000
2012,12,-0.62,681000000
2013,1,2.86,686000000
2013,2,-1.32,671000000
2013,3,1.03,673000000
2013,4,1.56,677000000
2013,5,-5.7,646000000
2013,6,-2.73,504000000
2013,7,-3.08,489000000
2013,8,-1.1,482000000
2013,9,-2.67,420000000
2013,10,5.29,429000000
2013,11,4.71,441000000
2013,12,-4.06,403000000
2014,1,-2.01,396000000
2014,2,5.68,394000000
2014,3,-1.43,364000000
2014,4,6.13,383000000
2014,5,5.17,399000000
2014,6,3.04,410000000
2014,7,-3.59,399000000
2014,8,5.31,416000000
2014,9,-1.14,411000000
2014,10,0.45,411000000
2014,11,8.92,442000000
2014,12,3.95,458000000
2015,1,7.56,490000000
2015,2,-0.59,487000000
2015,3,3.68,498000000
2015,4,-5.24,476000000
2015,5,-0.79,471000000
2015,6,-6.22,444000000
2015,7,4.39,462000000
2015,8,-7.19,479000000
2015,9,3.18,493000000
2015,10,-1.31,489000000
2015,11,3.58,504000000
2015,12,-1.79,495000000
2016,1,4.36,496000000
2016,2,7.83,516000000
2016,3,-5.34,597000000
2016,4,-0.44,602000000
2016,5,-2.94,600000000
2016,6,11.26,661000000
2016,7,2.38,689000000
2016,8,-3.9,726000000
2016,9,1.1,752000000
2016,10,-4.98,489000000
2016,11,0.82,456000000
2016,12,1.78,463000000
2017,1,-0.76,461000000
2017,2,2.71,472000000
2017,3,-1.43,491000000
2017,4,1.03,496000000
2017,5,0.09,522000000
2017,6,-5.01,493000000
2017,7,0.88,465000000
2017,8,4.5,526000000
2017,9,-6.16,488000000
2017,10,5.46,582000000
2017,11,0.54,580000000
2017,12,1.59,621000000
2018,1,3.44,621000000
2018,2,-9.95,563000000
2018,3,-1,560000000
2018,4,-2.95,541000000
2018,5,0.88,533000000
2018,6,1.37,537000000
2018,7,-1.38,529000000
2018,8,0.91,535000000
2018,9,-0.39,530000000
2018,10,-2.54,536000000
2018,11,0.64,538000000
2018,12,8.83,538000000
2019,1,-4.24,503000000
2019,2,-0.91,475000000
2019,3,3.68,493000000
2019,4,2.63,503000000
2019,5,-0.27,501000000
2019,6,5.13,513000000
2019,7,3.13,537000000
2019,8,6.77,566000000
2019,9,-5.32,534000000
2019,10,-5.44,508000000
2019,11,1.44,518000000
2019,12,-2.9,570000000
2020,1,3.88,592000000
2020,2,4.68,625000000
2020,3,3.68,635000000
2020,4,-0.88,623000000
