Year, Month, Return, Assets
2005,3,-6.31,141000
2005,4,-4.29,135000
2005,5,3.77,140000
2005,6,3.39,145000
2005,7,2.03,147000
2005,8,-0.89,146000
2005,9,-4.19,140000
2005,10,-0.58,139000
2005,11,-7.36,129000
2005,12,-4.05,124000
2006,1,2.07,126000
2006,2,7.13,135000
2006,3,4.22,141000
2006,4,4.06,147000
2006,5,-6.21,138000
2006,6,9.71,152000
2006,7,5.96,159000
2006,8,3.21,166000
2006,9,-0.18,166000
2006,10,-1.67,207000
2006,11,6.77,225000
2006,12,0.12,296000
2007,1,3.47,301000
2007,2,11.77,345000
2007,3,5.28,369000
2007,4,-3.37,356000
2007,5,0.1,356000
2007,6,7.28,390000
2007,7,-2.87,358000
2007,8,11.11,431000
2007,9,-1.39,425000
2007,10,-4.81,398000
2007,11,-3.97,382000
2007,12,11.02,435000
2008,1,-4.52,370936
2008,2,10.04,449188
2008,3,-1.48,440839
2008,4,5.47,472182
2008,5,8.04,521539
2008,6,-0.6,518182
2008,7,-0.11,516000
2008,8,2.34,519996
2008,9,6.44,563718
2008,10,1.31,605000
2008,11,-7.02,600000
2008,12,7.47,605000
2009,1,13.71,710000
2009,2,-1.77,601000
2009,3,-2.68,517000
2009,4,-1.26,1300000
2009,5,-11.79,1163000
2009,6,10.33,1200000
2009,7,5.62,970000
2009,8,6.26,1000000
2009,9,3.86,1100000
2009,10,-4.59,1230000
2009,11,-4.61,1382483
2009,12,5.6,1600000
2010,1,-1.83,1660000
2010,2,3.35,1660000
2010,3,-0.17,1800000
2010,4,-0.17,1800000
2010,5,-10.74,1400000
2010,6,12.47,1800000
2010,7,7.99,2000000
2010,8,-4.34,1900000
2010,9,0.04,2000000
2010,10,-0.17,2144000
2010,11,-0.41,2600000
2010,12,3.3,2600000
2011,1,-0.17,640000
2011,2,1.38,1000000
2011,3,-2.93,1000000
2011,4,-1.36,1000000
2011,5,-0.2,1000000
2011,6,-9.73,870000
2011,7,4.66,866000
2011,8,4.36,938000
2011,9,17.68,1200000
2011,10,0.57,1144000
2011,11,0,1144000
2011,12,0,1144000
2012,1,0,1400000
2012,2,0,1144000
2012,3,0,1144000
2012,4,-7.99,50000
2012,5,7.72,50000
2012,6,10.86,50000
2012,7,21.16,50000
2012,8,-8.16,50000
2012,9,-8.93,50000
2012,10,20.07,50000
2012,11,6.22,50000
2012,12,-1.82,50000
2013,1,-6.28,50000
2013,2,1.01,50000
2013,3,-1.56,50000
2013,4,16.35,50000
2013,5,-8.42,50000
2013,6,-3.53,50000
2013,7,-8.27,50000
2013,8,-2.02,50000
2013,9,-6.79,50000
2013,10,-6.26,50000
2013,11,-1.37,50000
2013,12,7.36,50000
2014,1,7.25,50000
2014,2,-4.89,50000
2014,3,12.31,50000
2014,4,-2.92,50000
2014,5,2.15,50000
2014,6,2.08,50000
2014,7,9.87,50000
2014,8,-11.14,50000
2014,9,0.63,50000
2014,10,-8.49,50000
2014,11,-0.17,50000
2014,12,-8.78,50000
2015,1,3.65,50000
2015,2,-1.1,50000
2015,3,-7.98,50000
2015,4,-1.14,50000
2015,5,2.55,50000
2015,6,-3.06,50000
2015,7,0.81,50000
2015,8,23.3,50000
2015,9,-1.53,50000
2015,10,-5.24,50000
2015,11,-4.89,50000
2015,12,8.61,50000
2016,1,-7.95,50000
2016,2,-1.25,50000
2016,3,-1.93,50000
2016,4,2.12,50000
2016,5,3.67,50000
2016,6,5.48,50000
2016,7,-7.34,50000
2016,8,-1.36,50000
2016,9,18.88,50000
2016,10,-1.43,50000
2016,11,-7.49,50000
2016,12,-3.61,50000
2017,1,-0.98,50000
2017,2,-3.8,50000
2017,3,5.12,50000
2017,4,-4.01,50000
2017,5,1.23,50000
2017,6,-1.94,50000
2017,7,9.34,50000
2017,8,-8.81,50000
2017,9,-4.62,50000
2017,10,-2.27,50000
2017,11,12.39,50000
2017,12,-1.33,50000
2018,1,4.48,50000
2018,2,-3.5,50000
2018,3,9.38,50000
2018,4,0.77,50000
2018,5,3.02,50000
2018,6,-1.43,50000
2018,7,-2.24,50000
2018,8,5.03,50000
2018,9,-0.72,100000
2018,10,2.77,100000
2018,11,-1.49,100000
2018,12,-0.36,100000
2019,1,-2.08,100000
2019,2,-0.17,100000
2019,3,0.1,100000
2019,4,-1.52,100000
2019,5,-1.67,100000
2019,6,0.27,100000
2019,7,2.01,100000
2019,8,5.19,100000
2019,9,-2.79,100000
2019,10,-2.16,100000
2019,11,-0.17,100000
2019,12,-2.11,100000
2020,1,-1.67,100000
2020,2,-1.58,100000
2020,3,0.1,100000
