Year, Month, Return, Assets
2005,5,4.69,13000000
2005,6,3.39,11000000
2005,7,-2.54,10833600
2005,8,3.99,21318400
2005,9,1.69,20367500
2005,10,-3.01,25156700
2005,11,10.38,28256800
2005,12,0.74,33497600
2006,1,6.36,35822200
2006,2,-4.13,43519700
2006,3,6.74,53121200
2006,4,9.79,72376800
2006,5,-3.81,88965000
2006,6,-4.9,73848000
2006,7,-5.04,73003504
2006,8,1.22,29000000
2006,9,-2.4,29700000
2006,10,4.35,30395000
2006,11,0.77,43600000
2006,12,2.18,45500000
2007,1,1.97,46000000
2007,2,-2.81,45000000
2007,3,-2.45,39000000
2007,4,4.99,40000000
2007,5,5.07,42000000
2007,6,3.71,71000000
2007,7,-6.42,66000000
2007,8,-9.65,58000000
2007,9,7.44,62000000
2007,10,9.25,70000000
2007,11,-2.03,66000000
2007,12,5.9,62000000
2008,1,10.62,63000000
2008,2,20.72,77000000
2008,3,-2.33,77000000
2008,4,-3.77,60000000
2008,5,2.3,101000000
2008,6,6.36,116000000
2008,7,-10.69,101500000
2008,8,-4.22,105700000
2008,9,7.11,125900000
2008,10,17.1,138000000
2008,11,6.87,150000000
2008,12,5.1,156000000
2009,1,0.44,150000000
2009,2,1.02,150000000
2009,3,-3.45,144000000
2009,4,-2.99,144000000
2009,5,-1.09,153000000
2009,6,-2.25,163000000
2009,7,-1.18,175000000
2009,8,3.64,186000000
2009,9,2.09,196000000
2009,10,-4.68,206000000
2009,11,7.64,258000000
2009,12,-1.27,267000000
2010,1,-3.93,256000000
2010,2,-0.07,260000000
2010,3,5.13,285000000
2010,4,2.04,307000000
2010,5,-7.89,306000000
2010,6,0.37,327000000
2010,7,-4.67,328000000
2010,8,4.31,364000000
2010,9,2.71,400000000
2010,10,7.05,450000000
2010,11,-3.5,434000000
2010,12,9.21,516000000
2011,1,1.23,528000000
2011,2,3.95,578000000
2011,3,-2.21,628000000
2011,4,4.47,667000000
2011,5,-4.81,704000000
2011,6,-3.9,690000000
2011,7,5.53,733000000
2011,8,0.58,759000000
2011,9,-0.71,737000000
2011,10,-6.39,757000000
2011,11,3.66,783000000
2011,12,-0.13,852000000
2012,1,-2.69,815000000
2012,2,-1.45,807000000
2012,3,-3.49,877000000
2012,4,-0.32,889000000
2012,5,7.26,960000000
2012,6,-7.25,876000000
2012,7,3.35,936000000
2012,8,-3,918000000
2012,9,-4.88,872000000
2012,10,-4.76,738000000
2012,11,-2.05,706000000
2012,12,-0.66,686000000
2013,1,1.45,680000000
2013,2,-3.82,624000000
2013,3,-0.31,602000000
2013,4,3.19,604000000
2013,5,-1.27,578000000
2013,6,-1.85,553000000
2013,7,-4.22,501000000
2013,8,-0.82,468000000
2013,9,-1.84,447000000
2013,10,3.5,431000000
2013,11,0.36,214000000
2013,12,-1.73,63000000
2014,1,1.95,61600000
2014,2,0.82,56800000
2014,3,-1.46,53400000
2014,4,1.68,42100000
2014,5,3.19,43300000
2014,6,-2.38,42200000
2014,7,4.21,43500000
2014,8,4.22,45400000
2014,9,8.73,56000000
2014,10,3.04,53500000
2014,11,7.1,103200000
2014,12,4.53,104000000
2015,1,3.57,103000000
2015,2,2.03,103000000
2015,3,0.8,106500000
2015,4,-5.48,101000000
2015,5,-1.02,98000000
2015,6,-4.5,96000000
2015,7,5.23,96000000
2015,8,5.16,99000000
2015,9,2.15,100000000
2015,10,-6.62,95000000
2015,11,3.87,96000000
2015,12,0.89,98000000
2016,1,4.23,101500000
2016,2,4.22,104000000
2016,3,-5.55,101500000
2016,4,-3.2,102000000
2016,5,-5.28,100000000
2016,6,4.87,102000000
2016,7,2.91,104000000
2016,8,-2.09,103600000
2016,9,-1.54,101500000
2016,10,-2.29,100000000
2016,11,6.07,103000000
2016,12,-1.5,105400000
2017,1,-1.8,110000000
2017,2,0.51,111800000
2017,3,-4.58,108300000
2017,4,0.79,111000000
2017,5,-1.19,111100000
2017,6,-6.26,105000000
2017,7,2.82,106000000
2017,8,2.72,108000000
2017,9,-7.1,104000000
2017,10,8.3,110000000
2017,11,2.72,108600000
2017,12,-0.9,109000000
2018,1,3.16,111000000
2018,2,-8.31,109300000
2018,3,6.25,113000000
2018,4,-1.93,111000000
2018,5,-3.49,107500000
2018,6,-4.55,101000000
2018,7,-3.73,92700000
2018,8,7.2,96000000
2018,9,-5.46,78326695
2018,10,-2.93,77000000
2018,11,0.01,76700000
2018,12,3.56,77400000
2019,1,-6.62,75270000
2019,2,1.95,71211000
2019,3,2.22,70670300
2019,4,2.87,63850475
2019,5,-0.27,63488272
2019,6,1.32,63644088
2019,7,0.18,63489824
2019,8,4.61,64100000
2019,9,-8.58,62532000
2019,10,-2.22,62300000
2019,11,2.11,62687000
2019,12,1.35,63086413
2020,1,1.65,63279287
2020,2,6.45,64381168
2020,3,6.05,69877000
2020,4,-5.88,68448626
