"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 08-May-2020",566.71,489.37,553.29,,17.63,15.22,17.21,
"00:00:00 08-Apr-2020",509.53,467.75,490.51,,15.85,14.55,15.26,
"00:00:00 09-Mar-2020",563.19,374.24,481.39,,17.52,11.64,14.97,
"00:00:00 08-Feb-2020",609.16,527.30,562.58,,18.95,16.40,17.50,
"00:00:00 09-Jan-2020",590.27,559.13,569.11,,18.36,17.39,17.70,
"00:00:00 10-Dec-2019",606.25,533.18,582.86,,18.86,16.58,18.13,
"00:00:00 10-Nov-2019",556.24,531.44,533.82,,17.30,16.53,16.60,
"00:00:00 11-Oct-2019",589.42,537.09,540.00,,18.33,16.71,16.80,
"00:00:00 11-Sep-2019",602.50,543.37,563.20,,18.74,16.90,17.52,
"00:00:00 12-Aug-2019",631.76,531.97,579.37,,19.65,16.55,18.02,
"00:00:00 13-Jul-2019",554.34,487.72,546.91,,17.24,15.17,17.01,
"00:00:00 13-Jun-2019",500.13,474.04,489.41,,15.56,14.74,15.22,
"00:00:00 14-May-2019",487.16,459.81,475.22,,15.15,14.30,14.78,
"00:00:00 14-Apr-2019",485.44,468.39,475.50,,15.10,14.57,14.79,
"00:00:00 15-Mar-2019",502.75,479.19,481.50,,15.64,14.90,14.98,
"00:00:00 13-Feb-2019",530.36,481.76,488.31,,16.50,14.98,15.19,
"00:00:00 14-Jan-2019",520.44,488.24,505.08,,16.19,15.19,15.71,
"00:00:00 15-Dec-2018",510.23,467.76,501.64,,15.87,14.55,15.60,
"00:00:00 15-Nov-2018",476.03,452.01,468.52,,14.81,14.06,14.57,
"00:00:00 16-Oct-2018",479.49,446.89,454.67,,14.91,13.90,14.14,
"00:00:00 16-Sep-2018",479.39,451.72,472.63,,14.91,14.05,14.70,
"00:00:00 17-Aug-2018",482.23,448.33,451.98,,15.00,13.94,14.06,
"00:00:00 18-Jul-2018",503.70,461.19,471.57,,15.67,14.34,14.67,
"00:00:00 18-Jun-2018",534.59,500.32,500.76,,16.63,15.56,15.58,
"00:00:00 19-May-2018",556.68,523.25,532.99,,17.31,16.27,16.58,
"00:00:00 19-Apr-2018",557.95,516.31,528.80,,17.35,16.06,16.45,
"00:00:00 20-Mar-2018",555.05,518.54,553.12,,17.26,16.13,17.20,
"00:00:00 18-Feb-2018",542.10,520.45,525.07,,16.86,16.19,16.33,
"00:00:00 19-Jan-2018",569.02,520.93,535.86,,17.70,16.20,16.67,
"00:00:00 20-Dec-2017",560.04,517.74,545.84,,17.42,16.10,16.98,
"00:00:00 20-Nov-2017",555.39,502.65,518.85,,17.27,15.63,16.14,
"00:00:00 21-Oct-2017",557.81,534.54,555.25,,17.35,16.63,17.27,
"00:00:00 21-Sep-2017",561.43,525.50,547.72,,17.46,16.34,17.04,
"00:00:00 22-Aug-2017",585.43,541.17,550.57,,18.21,16.83,17.12,
"00:00:00 23-Jul-2017",556.31,518.90,547.51,,17.30,16.14,17.03,
"00:00:00 23-Jun-2017",543.39,482.99,531.17,,16.90,15.02,16.52,
"00:00:00 24-May-2017",570.49,526.29,534.09,,17.74,16.37,16.61,
"00:00:00 24-Apr-2017",578.89,516.90,548.71,,18.01,16.08,17.07,
"00:00:00 25-Mar-2017",599.79,567.43,574.45,,18.66,17.65,17.87,
"00:00:00 23-Feb-2017",594.32,541.28,571.29,,18.49,16.84,17.77,
"00:00:00 24-Jan-2017",583.32,535.07,579.28,,18.14,16.64,18.02,
"00:00:00 25-Dec-2016",557.28,505.20,553.31,,17.33,15.71,17.21,
"00:00:00 25-Nov-2016",554.17,502.88,506.67,,17.24,15.64,15.76,
"00:00:00 26-Oct-2016",610.88,520.13,526.16,,19.00,16.18,16.37,
"00:00:00 26-Sep-2016",634.83,550.27,570.80,,19.75,17.12,17.75,
"00:00:00 27-Aug-2016",647.22,591.44,633.66,,20.13,18.40,19.71,
"00:00:00 28-Jul-2016",668.03,594.44,599.91,,20.78,18.49,18.66,
"00:00:00 28-Jun-2016",679.28,563.76,652.40,,21.13,17.53,20.29,
