"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 08-May-2020",56746.39,54424.30,55775.92,,1765.01,1692.78,1734.83,
"00:00:00 08-Apr-2020",56177.96,52839.59,55114.58,,1747.33,1643.49,1714.26,
"00:00:00 09-Mar-2020",54741.23,46692.69,53004.04,,1702.64,1452.31,1648.61,
"00:00:00 08-Feb-2020",54725.88,50222.52,54661.65,,1702.17,1562.09,1700.17,
"00:00:00 09-Jan-2020",51237.36,49390.14,50475.06,,1593.66,1536.21,1569.95,
"00:00:00 10-Dec-2019",51797.10,46946.52,50089.90,,1611.07,1460.20,1557.97,
"00:00:00 10-Nov-2019",47713.80,46482.91,46979.64,,1484.07,1445.78,1461.23,
"00:00:00 11-Oct-2019",48802.42,46827.72,46907.94,,1517.92,1456.50,1459.00,
"00:00:00 11-Sep-2019",49376.31,46915.66,48036.75,,1535.77,1459.24,1494.11,
"00:00:00 12-Aug-2019",50062.09,47594.12,47811.86,,1557.11,1480.34,1487.12,
"00:00:00 13-Jul-2019",48546.34,45022.62,48267.67,,1509.96,1400.36,1501.29,
"00:00:00 13-Jun-2019",46255.76,42840.63,45515.33,,1438.71,1332.49,1415.69,
"00:00:00 14-May-2019",43349.09,40823.25,42878.65,,1348.31,1269.75,1333.68,
"00:00:00 14-Apr-2019",41852.40,40720.69,41851.67,,1301.76,1266.56,1301.73,
"00:00:00 15-Mar-2019",42583.50,41187.44,41492.95,,1324.49,1281.07,1290.58,
"00:00:00 13-Feb-2019",43299.10,41203.91,41673.07,,1346.75,1281.58,1296.18,
"00:00:00 14-Jan-2019",42641.45,41052.32,42127.85,,1326.30,1276.87,1310.32,
"00:00:00 15-Dec-2018",41737.78,39735.11,41415.63,,1298.19,1235.90,1288.17,
"00:00:00 15-Nov-2018",40216.97,38847.99,39827.22,,1250.89,1208.31,1238.77,
"00:00:00 16-Oct-2018",39972.70,38467.81,38935.68,,1243.29,1196.48,1211.04,
"00:00:00 16-Sep-2018",39651.52,37978.55,39446.39,,1233.30,1181.26,1226.92,
"00:00:00 17-Aug-2018",39040.81,37681.88,38386.06,,1214.30,1172.04,1193.94,
"00:00:00 18-Jul-2018",39712.44,37318.42,37786.37,,1235.19,1160.73,1175.29,
"00:00:00 18-Jun-2018",41283.17,39427.43,39456.76,,1284.05,1226.33,1227.24,
"00:00:00 19-May-2018",42094.17,41009.72,41188.40,,1309.28,1275.54,1281.10,
"00:00:00 19-Apr-2018",43551.48,41335.41,41580.56,,1354.60,1285.67,1293.30,
"00:00:00 20-Mar-2018",43888.50,42030.83,43426.17,,1365.08,1307.30,1350.70,
"00:00:00 18-Feb-2018",43442.57,41892.58,42348.16,,1351.21,1303.00,1317.18,
"00:00:00 19-Jan-2018",43917.04,42032.12,43315.90,,1365.97,1307.35,1347.28,
"00:00:00 20-Dec-2017",43220.33,40558.65,42694.74,,1344.30,1261.52,1327.95,
"00:00:00 20-Nov-2017",41764.62,39765.73,40571.99,,1299.02,1236.85,1261.93,
"00:00:00 21-Oct-2017",41677.66,40664.43,41587.79,,1296.32,1264.81,1293.52,
"00:00:00 21-Sep-2017",42223.25,40544.66,41169.67,,1313.29,1261.08,1280.52,
"00:00:00 22-Aug-2017",43622.70,41162.04,41759.16,,1356.82,1280.28,1298.86,
"00:00:00 23-Jul-2017",41818.23,40002.36,41528.64,,1300.69,1244.21,1291.69,
"00:00:00 23-Jun-2017",40470.23,38757.24,40347.42,,1258.76,1205.48,1254.95,
"00:00:00 24-May-2017",41655.95,39917.56,40235.37,,1295.64,1241.57,1251.46,
"00:00:00 24-Apr-2017",41096.53,39057.37,40222.51,,1278.24,1214.82,1251.06,
"00:00:00 25-Mar-2017",41650.97,39864.03,40968.25,,1295.49,1239.91,1274.26,
"00:00:00 23-Feb-2017",40632.03,38423.44,39973.26,,1263.80,1195.10,1243.31,
"00:00:00 24-Jan-2017",40017.71,37969.39,39770.23,,1244.69,1180.98,1236.99,
"00:00:00 25-Dec-2016",39230.18,36387.81,39143.13,,1220.19,1131.79,1217.49,
"00:00:00 25-Nov-2016",38506.79,36110.59,37654.47,,1197.70,1123.16,1171.18,
"00:00:00 26-Oct-2016",42984.58,37984.58,38139.95,,1336.97,1181.45,1186.29,
"00:00:00 26-Sep-2016",43151.93,39919.73,40976.45,,1342.18,1241.64,1274.51,
"00:00:00 27-Aug-2016",43489.19,41883.98,43033.05,,1352.67,1302.74,1338.48,
"00:00:00 28-Jul-2016",43960.68,42380.39,42477.57,,1367.33,1318.18,1321.20,
"00:00:00 28-Jun-2016",44214.11,41979.07,43075.41,,1375.21,1305.70,1339.80,
"00:00:00 29-May-2016",43668.35,38580.01,42589.93,,1358.24,1199.97,1324.69,
"00:00:00 29-Apr-2016",41915.89,38808.20,38999.98,,1303.73,1207.07,1213.03,
"00:00:00 30-Mar-2016",40836.75,38877.65,40693.28,,1270.16,1209.23,1265.70,
"00:00:00 29-Feb-2016",41240.97,38858.92,39840.80,,1282.74,1208.65,1239.19,
"00:00:00 30-Jan-2016",40558.57,35874.61,39270.13,,1261.51,1115.83,1221.44,
"00:00:00 31-Dec-2015",36268.53,34043.94,35951.61,,1128.08,1058.88,1118.22,
"00:00:00 01-Dec-2015",35007.82,33645.60,34143.45,,1088.86,1046.50,1061.98,
"00:00:00 01-Nov-2015",36747.02,33855.94,34219.00,,1142.96,1053.04,1064.33,
"00:00:00 02-Oct-2015",38288.97,35537.94,36717.92,,1190.92,1105.35,1142.05,
"00:00:00 02-Sep-2015",37177.64,35350.39,35810.90,,1156.35,1099.52,1113.84,
"00:00:00 03-Aug-2015",37601.18,34761.23,36618.82,,1169.53,1081.20,1138.97,
"00:00:00 04-Jul-2015",37777.37,34648.30,35153.47,,1175.01,1077.68,1093.40,
"00:00:00 04-Jun-2015",38762.47,37219.47,37571.68,,1205.65,1157.65,1168.61,
"00:00:00 05-May-2015",39619.20,37907.58,38122.59,,1232.29,1179.06,1185.75,
"00:00:00 05-Apr-2015",39361.68,37633.90,38212.53,,1224.29,1170.55,1188.54,
"00:00:00 06-Mar-2015",39205.34,36753.53,38665.13,,1219.42,1143.16,1202.62,
"00:00:00 04-Feb-2015",40961.74,38285.75,38590.14,,1274.05,1190.82,1200.29,
"00:00:00 05-Jan-2015",42008.89,38050.41,40562.99,,1306.62,1183.50,1261.65,
